Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
749108,"Remembering the Kanji, Vol. 1: A Complete Course on How Not to Forget the Meaning and Writing of Japanese Characters (English and Japanese Edition)",James W. Heisig,"Heisig, James W.",,"=""0824831659""","=""9780824831653""",5,4.24,Univ of Hawaii Pr,Paperback,460,2007,1977,,2019/11/30,learning,learning (#7),read,,,,1,1
1872681,Minna no Nihongo I,3A Network,"Network, 3A",,"=""4883191028""","=""9784883191024""",0,4.07,3A CORPORATION,Paperback,244,2000,1998,,2019/11/30,learning,learning (#5),read,,,,1,1
3683033,A Dictionary of Advanced Japanese Grammar 日本語文法辞典【上級編】 (Japanese Grammar Dictionary #3),Seiichi Makino,"Makino, Seiichi",Michio Tsutsui,"=""4789012956""","=""9784789012959""",0,4.74,"The Japan Times, Ltd.",Paperback,795,2008,2008,,2019/11/30,"learning, to-read","learning (#4), to-read (#39)",to-read,,,,0,1
986935,A Dictionary of Intermediate Japanese Grammar 日本語文法辞典【中級編】 (Japanese Grammar Dictionary #2),Seiichi Makino,"Makino, Seiichi",Michio Tsutsui,"=""4789007758""","=""9784789007757""",0,4.51,"The Japan Times, Ltd.",Paperback,760,2000,2000,,2019/11/30,"to-read, learning","to-read (#38), learning (#3)",to-read,,,,0,1
367611,A Dictionary of Basic Japanese Grammar 日本語基本文法辞典 (Japanese Grammar Dictionary #1),Seiichi Makino,"Makino, Seiichi",Michio Tsutsui,"=""4789004546""","=""9784789004541""",0,4.66,"The Japan Times, Ltd.",Paperback,636,1991,1989,,2019/11/30,"learning, to-read","learning (#2), to-read (#37)",to-read,,,,0,1
6486885,"Music Theory for Computer Musicians (Computer Musicians, #1)",Michael Hewitt,"Hewitt, Michael",,"=""1598635034""","=""9781598635034""",0,4.24,Course Technology PTR,Paperback,336,2008,2008,,2019/11/30,"learning, to-read","learning (#1), to-read (#36)",to-read,,,,0,1
515601,The C Programming Language,Brian W. Kernighan,"Kernighan, Brian W.",Dennis M. Ritchie,"=""0131103628""","=""9780131103627""",0,4.44,Pearson,Paperback,272,1988,1978,,2019/11/30,"programming, to-read","programming (#60), to-read (#35)",to-read,,,,0,1
231262,Head First Java,Kathy Sierra,"Sierra, Kathy",Bert Bates,"=""0596009208""","=""9780596009205""",0,4.24,O'Reilly Media,Paperback,688,2005,2006,,2019/11/30,"programming, to-read","programming (#59), to-read (#34)",to-read,,,,0,1
661934,Hardcore Java: Secrets of the Java Masters,Robert Simmons Jr.,"Jr., Robert Simmons",,"=""0596005687""","=""9780596005689""",0,3.54,O'Reilly Media,Paperback,344,2004,2004,,2019/11/30,"to-read, programming","to-read (#33), programming (#58)",to-read,,,,0,1
28602706,3D User Interfaces: Theory and Practice (Usability),Doug Bowman,"Bowman, Doug","Ernst Kruijff, Doug Bowman, Ivan Poupyrev, Ryan McMahan","=""0134034325""","=""9780134034324""",0,4.08,Addison Wesley,Paperback,624,2017,,,2019/11/30,"to-read, programming","to-read (#31), programming (#53)",to-read,,,,0,1
112251,The C++ Programming Language,Bjarne Stroustrup,"Stroustrup, Bjarne",,"=""0201700735""","=""9780201700732""",0,4.10,Addison-Wesley Professional,Hardcover,1030,2000,1986,,2019/11/30,"to-read, programming","to-read (#24), programming (#44)",to-read,,,,0,1
105125,Effective C++: 55 Specific Ways to Improve Your Programs and Designs,Scott Meyers,"Meyers, Scott",,"=""0321334876""","=""9780321334879""",0,4.40,Addison-Wesley Professional,Paperback,297,2005,1991,,2019/11/30,"to-read, programming","to-read (#23), programming (#43)",to-read,,,,1,0
22800553,Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14,Scott Meyers,"Meyers, Scott",,"=""1491903996""","=""9781491903995""",0,4.56,"O'Reilly Media, Incorporated",Paperback,334,2014,2014,,2019/11/30,"to-read, programming","to-read (#22), programming (#42)",to-read,,,,0,0
105123,More Effective C++: 35 New Ways to Improve Your Programs and Designs,Scott Meyers,"Meyers, Scott",,"=""020163371X""","=""0785342633719""",0,4.34,Addison-Wesley Professional,Paperback,318,1996,1995,,2019/11/30,"programming, to-read","programming (#41), to-read (#21)",to-read,,,,0,0
566260,Sams Teach Yourself the C# Language in 21 Days,Bradley L. Jones,"Jones, Bradley L.",,"=""0672325462""","=""9780672325465""",0,3.94,Sams,Paperback,832,2003,,,2019/11/30,"to-read, programming","to-read (#19), programming (#39)",to-read,,,,0,1
7789280,C# in Depth,Jon Skeet,"Skeet, Jon",,"=""1935182471""","=""9781935182474""",0,4.51,Manning Publications,Paperback,554,2010,2008,,2019/11/30,"to-read, programming","to-read (#17), programming (#37)",to-read,,,,0,1
106728,The Timeless Way of Building,Christopher W. Alexander,"Alexander, Christopher W.",,"=""0195024028""","=""9780195024029""",0,4.37,Oxford University Press,Hardcover,552,1979,1978,,2019/11/30,"programming, to-read","programming (#35), to-read (#15)",to-read,,,,0,1
454039,The Elements of Programming Style,Brian W. Kernighan,"Kernighan, Brian W.",P.J. Plauger,"=""0070342075""","=""9780070342071""",0,4.20,McGraw-Hill,Paperback,168,1978,1974,,2019/11/30,"to-read, programming","to-read (#14), programming (#34)",to-read,,,,0,1
781561,Smalltalk Best Practice Patterns,Kent Beck,"Beck, Kent",,"=""013476904X""","=""9780134769042""",0,4.19,Pearson,Paperback,224,1996,1996,,2019/11/30,"to-read, programming","to-read (#10), programming (#28)",to-read,,,,0,1
781559,Implementation Patterns,Kent Beck,"Beck, Kent",,"=""0321413091""","=""9780321413093""",0,3.61,Addison-Wesley Professional,Paperback,176,2007,2006,,2019/11/30,to-read,to-read (#9),to-read,,,,0,1
61623,Hacking For Dummies,Kevin Beaver,"Beaver, Kevin",Stuart McClure,"=""047005235X""","=""9780470052358""",0,3.64,Wiley Publishing,Paperback,408,2006,2004,,2019/11/30,"to-read, programming","to-read (#8), programming (#23)",to-read,,,,0,1
46249555,The Oxygen Advantage / What Doesn't Kill Us (3-Book Collection Set),Patrick McKeown,"McKeown, Patrick",Scott Carney,"=""9123801700""","=""9789123801701""",0,4.50,Piatkus/Scribe UK/William Morrow & Company,Paperback,0,,,,2019/11/29,to-read,to-read (#5),to-read,,,,0,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",3,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,,2019/11/29,science,science (#1),read,,,,1,1
6518085,Pro Git (Expert's Voice in Software Development),Scott Chacon,"Chacon, Scott",,"=""1430218339""","=""9781430218333""",0,4.18,Apress,Paperback,290,2009,2009,,2019/11/29,"to-read, programming","to-read (#3), programming (#8)",to-read,,,,0,0
